0.058732,0.167626,-0.115323,0.388956,-0.244180,-0.024482,-0.122439,-0.392239,-0.070170,0.421386,-0.329594,0.041683,-0.063313,0.050000,-0.213917,-0.588806,0.356629,0.337301,0.191131,0.055700,-0.050000,0.242223,-0.422362,0.009152,0.053564,-0.177308
0.056693,0.168221,-0.106514,0.383403,-0.241586,-0.024753,-0.125226,-0.396830,-0.061132,0.417316,-0.328423,0.043065,-0.078145,0.050000,-0.205852,-0.623582,0.390104,0.381825,0.182154,0.071283,-0.050000,0.221768,-0.456844,0.000463,0.081759,-0.190092
0.054424,0.168797,-0.096941,0.377738,-0.238943,-0.024994,-0.128233,-0.401469,-0.051362,0.413137,-0.327176,0.044479,-0.092912,0.050000,-0.194919,-0.660789,0.427698,0.428022,0.171261,0.088901,-0.050000,0.196953,-0.495152,-0.010767,0.112885,-0.203540
0.051695,0.169336,-0.085842,0.371850,-0.236199,-0.025178,-0.131678,-0.406208,-0.040132,0.408743,-0.325773,0.045956,-0.107545,0.050000,-0.178256,-0.702857,0.473523,0.477561,0.156539,0.110586,-0.050000,0.163425,-0.541105,-0.027077,0.149869,-0.218314
0.049377,0.169487,-0.077279,0.368791,-0.234746,-0.025104,-0.134217,-0.408298,-0.031734,0.406367,-0.324747,0.046717,-0.113515,0.050000,-0.156502,-0.733198,0.493271,0.496435,0.140491,0.130062,-0.050000,0.126471,-0.580284,-0.047136,0.180499,-0.227628
0.047264,0.169443,-0.069984,0.367145,-0.233938,-0.024901,-0.136302,-0.409065,-0.024752,0.404998,-0.323908,0.047121,-0.115157,0.050000,-0.132204,-0.757680,0.500000,0.500000,0.123781,0.148433,-0.050000,0.087805,-0.616078,-0.069069,0.207954,-0.234213
0.045809,0.169815,-0.064855,0.366570,-0.233741,-0.024677,-0.137731,-0.408800,-0.020154,0.404456,-0.323357,0.047264,-0.110694,0.050000,-0.104610,-0.772615,0.500000,0.500000,0.108620,0.163917,-0.050000,0.045837,-0.645599,-0.094195,0.228739,-0.235364
0.044524,0.170334,-0.060215,0.366089,-0.233598,-0.024467,-0.139010,-0.408351,-0.016097,0.404013,-0.322842,0.047374,-0.105397,0.050000,-0.076780,-0.786138,0.500000,0.500000,0.094118,0.178599,-0.050000,0.003688,-0.673855,-0.120077,0.248003,-0.234732
0.043581,0.171148,-0.056549,0.365797,-0.233562,-0.024282,-0.139988,-0.407537,-0.013121,0.403767,-0.322402,0.047414,-0.098437,0.050000,-0.048479,-0.796848,0.500000,0.500000,0.080929,0.191681,-0.050000,-0.038822,-0.699592,-0.147467,0.264230,-0.230545
0.042888,0.172151,-0.053634,0.365590,-0.233566,-0.024125,-0.140739,-0.406510,-0.010923,0.403593,-0.322002,0.047414,-0.090916,0.050000,-0.020328,-0.806530,0.500000,0.500000,0.068983,0.203449,-0.050000,-0.079997,-0.723661,-0.176317,0.278015,-0.223534
0.042321,0.173249,-0.051094,0.365427,-0.233589,-0.023981,-0.141377,-0.405378,-0.009114,0.403453,-0.321621,0.047394,-0.083117,0.050000,0.007749,-0.815700,0.500000,0.500000,0.057657,0.214560,-0.050000,-0.120503,-0.746896,-0.205896,0.290580,-0.215116
